,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,OT,Notes
74.0,2025-03-04,Albany (NY),,Vermont,,,
173.0,2025-03-04,Florida State,,Virginia,,,
174.0,2025-03-04,North Carolina,,Virginia Tech,,,
106.0,2025-03-04,Kent State,,Western Michigan,,,
139.0,2025-03-05,Florida,,Alabama,,,
175.0,2025-03-05,Clemson,,Boston College,,,
108.0,2025-03-05,Xavier,,Butler,,,
155.0,2025-03-05,Kansas State,,Cincinnati,,,
129.0,2025-03-05,George Washington,,Fordham,,,
130.0,2025-03-05,La Salle,,George Mason,,,
176.0,2025-03-05,California,,Louisville,,,
131.0,2025-03-05,Davidson,,Loyola (IL),,,
175.0,2025-03-05,Maryland,,Michigan,,,
176.0,2025-03-05,Wisconsin,,Minnesota,,,
140.0,2025-03-05,Tennessee,,Mississippi,,,
177.0,2025-03-05,Pittsburgh,,NC State,,,
178.0,2025-03-05,Stanford,,Notre Dame,,,
141.0,2025-03-05,Missouri,,Oklahoma,,,
109.0,2025-03-05,DePaul,,Providence,,,
132.0,2025-03-05,Rhode Island,,Saint Joseph's,,,
177.0,2025-03-05,Washington,,Southern California,,,
133.0,2025-03-05,Massachusetts,,St. Bonaventure,,,
156.0,2025-03-05,Colorado,,Texas Tech,,,
157.0,2025-03-05,Oklahoma State,,UCF,,,
67.0,2025-03-06,Utah Valley,,Abilene Christian,,,
101.0,2025-03-06,Jackson State,,Arkansas-Pine Bluff,,,
105.0,2025-03-06,Cal State Fullerton,,Cal Poly,,,
106.0,2025-03-06,Hawaii,,Cal State Bakersfield,,,
68.0,2025-03-06,Tarleton State,,California Baptist,,,
54.0,2025-03-06,Morgan State,,Coppin State,,,
55.0,2025-03-06,Maryland-Eastern Shore,,Delaware State,,,
112.0,2025-03-06,Tulane,,East Carolina,,,
102.0,2025-03-06,Alabama A&M,,Grambling,,,
69.0,2025-03-06,Utah Tech,,Grand Canyon,,,
56.0,2025-03-06,Norfolk State,,Howard,,,
178.0,2025-03-06,Michigan State,,Iowa,,,
85.0,2025-03-06,New Mexico State,,Louisiana Tech,,,
123.0,2025-03-06,Sacred Heart,,Manhattan,,,
124.0,2025-03-06,Merrimack,,Marist,,,
86.0,2025-03-06,Liberty,,Middle Tennessee,,,
103.0,2025-03-06,Alcorn State,,Mississippi Valley State,,,
113.0,2025-03-06,Charlotte,,North Texas,,,
126.0,2025-03-06,Mount St. Mary's,,Quinnipiac,,,
114.0,2025-03-06,Wichita State,,Rice,,,
127.0,2025-03-06,Canisius,,Rider,,,
128.0,2025-03-06,Niagara,,Saint Peter's,,,
87.0,2025-03-06,UTEP,,Sam Houston,,,
129.0,2025-03-06,Fairfield,,Siena,,,
57.0,2025-03-06,North Carolina Central,,South Carolina State,,,
105.0,2025-03-06,Alabama State,,Southern,,,
70.0,2025-03-06,Seattle,,Southern Utah,,,
115.0,2025-03-06,Florida Atlantic,,UAB,,,
107.0,2025-03-06,UC Irvine,,UC Davis,,,
108.0,2025-03-06,Cal State Northridge,,UC Riverside,,,
109.0,2025-03-06,Long Beach State,,UC San Diego,,,
88.0,2025-03-06,Florida International,,Western Kentucky,,,
107.0,2025-03-07,Buffalo,,Akron,,,
111.0,2025-03-07,Colorado State,,Boise State,,,
108.0,2025-03-07,Western Michigan,,Bowling Green State,,,
109.0,2025-03-07,Northern Illinois,,Central Michigan,,,
179.0,2025-03-07,Southern Methodist,,Florida State,,,
179.0,2025-03-07,Purdue,,Illinois,,,
110.0,2025-03-07,Eastern Michigan,,Kent State,,,
116.0,2025-03-07,South Florida,,Memphis,,,
111.0,2025-03-07,Ball State,,Miami (OH),,,
112.0,2025-03-07,Nevada-Las Vegas,,New Mexico,,,
112.0,2025-03-07,Ohio,,Toledo,,,
134.0,2025-03-07,Dayton,,Virginia Commonwealth,,,
71.0,2025-03-08,Grand Canyon,,Abilene Christian,,,
158.0,2025-03-08,Texas Tech,,Arizona State,,,
142.0,2025-03-08,Mississippi State,,Arkansas,,,
106.0,2025-03-08,Alcorn State,,Arkansas-Pine Bluff,,,
143.0,2025-03-08,Alabama,,Auburn,,,
159.0,2025-03-08,Houston,,Baylor,,,
107.0,2025-03-08,Florida A&M,,Bethune-Cookman,,,
160.0,2025-03-08,Utah,,Brigham Young,,,
54.0,2025-03-08,Yale,,Brown,,,
110.0,2025-03-08,UC Riverside,,Cal State Fullerton,,,
111.0,2025-03-08,Hawaii,,Cal State Northridge,,,
72.0,2025-03-08,UT Arlington,,California Baptist,,,
180.0,2025-03-08,Virginia Tech,,Clemson,,,
161.0,2025-03-08,TCU,,Colorado,,,
110.0,2025-03-08,Seton Hall,,Connecticut,,,
55.0,2025-03-08,Columbia,,Cornell,,,
111.0,2025-03-08,Butler,,Creighton,,,
135.0,2025-03-08,St. Bonaventure,,Davidson,,,
112.0,2025-03-08,Georgetown,,DePaul,,,
130.0,2025-03-08,Quinnipiac,,Fairfield,,,
144.0,2025-03-08,Mississippi,,Florida,,,
145.0,2025-03-08,Vanderbilt,,Georgia,,,
108.0,2025-03-08,Alabama State,,Grambling,,,
56.0,2025-03-08,Dartmouth,,Harvard,,,
180.0,2025-03-08,Ohio State,,Indiana,,,
131.0,2025-03-08,Sacred Heart,,Iona,,,
89.0,2025-03-08,Kennesaw State,,Jacksonville State,,,
162.0,2025-03-08,Arizona,,Kansas,,,
163.0,2025-03-08,Iowa State,,Kansas State,,,
136.0,2025-03-08,Saint Joseph's,,La Salle,,,
112.0,2025-03-08,Cal Poly,,Long Beach State,,,
147.0,2025-03-08,Texas A&M,,Louisiana State,,,
90.0,2025-03-08,UTEP,,Louisiana Tech,,,
181.0,2025-03-08,Stanford,,Louisville,,,
132.0,2025-03-08,Siena,,Manhattan,,,
113.0,2025-03-08,St. John's (NY),,Marquette,,,
181.0,2025-03-08,Northwestern,,Maryland,,,
137.0,2025-03-08,Loyola (IL),,Massachusetts,,,
182.0,2025-03-08,NC State,,Miami (FL),,,
91.0,2025-03-08,Florida International,,Middle Tennessee,,,
109.0,2025-03-08,Jackson State,,Mississippi Valley State,,,
148.0,2025-03-08,Kentucky,,Missouri,,,
133.0,2025-03-08,Marist,,Mount St. Mary's,,,
183.0,2025-03-08,Duke,,North Carolina,,,
184.0,2025-03-08,California,,Notre Dame,,,
164.0,2025-03-08,Cincinnati,,Oklahoma State,,,
185.0,2025-03-08,Boston College,,Pittsburgh,,,
110.0,2025-03-08,Texas Southern,,Prairie View,,,
57.0,2025-03-08,Pennsylvania,,Princeton,,,
138.0,2025-03-08,Fordham,,Rhode Island,,,
139.0,2025-03-08,George Mason,,Richmond,,,
134.0,2025-03-08,Niagara,,Rider,,,
140.0,2025-03-08,Duquesne,,Saint Louis,,,
135.0,2025-03-08,Canisius,,Saint Peter's,,,
92.0,2025-03-08,New Mexico State,,Sam Houston,,,
113.0,2025-03-08,Nevada,,San Diego State,,,
114.0,2025-03-08,Fresno State,,San Jose State,,,
111.0,2025-03-08,Alabama A&M,,Southern,,,
186.0,2025-03-08,Virginia,,Syracuse,,,
73.0,2025-03-08,Utah Valley,,Tarleton State,,,
149.0,2025-03-08,South Carolina,,Tennessee,,,
150.0,2025-03-08,Oklahoma,,Texas,,,
113.0,2025-03-08,UC San Diego,,UC Davis,,,
114.0,2025-03-08,UC Irvine,,UC Santa Barbara,,,
182.0,2025-03-08,Southern California,,UCLA,,,
115.0,2025-03-08,Air Force,,Utah State,,,
74.0,2025-03-08,Seattle,,Utah Tech,,,
187.0,2025-03-08,Georgia Tech,,Wake Forest,,,
165.0,2025-03-08,UCF,,West Virginia,,,
93.0,2025-03-08,Liberty,,Western Kentucky,,,
183.0,2025-03-08,Penn State,,Wisconsin,,,
114.0,2025-03-08,Providence,,Xavier,,,
117.0,2025-03-09,UTSA,,Charlotte,,,
118.0,2025-03-09,East Carolina,,Florida Atlantic,,,
184.0,2025-03-09,Michigan,,Michigan State,,,
185.0,2025-03-09,Iowa,,Nebraska,,,
186.0,2025-03-09,Minnesota,,Rutgers,,,
119.0,2025-03-09,North Texas,,Temple,,,
120.0,2025-03-09,UAB,,Tulane,,,
187.0,2025-03-09,Oregon,,Washington,,,
121.0,2025-03-09,Tulsa,,Wichita State,,,
